"Code","Birthplace","Census_night_population_count","Census_usually_resident_population_count"
"6102","Hong Kong (Special Administrative Region)",11505,10992
"6103","Japan",15579,13107
"6104","Korea, Democratic People's Republic of",18,15
"6105","Korea, Republic of",31884,30975
"6106","Macau (Special Administrative Region)",321,306
"6107","Mongolia",117,105
"6108","Taiwan",11151,10440
"7000","Southern and Central Asia (not further defined)",0,0
"7100","Southern Asia (not further defined)",0,0
"7101","Bangladesh",2601,2559
"7102","Bhutan",714,714
"7103","India",120111,117348
"7104","Maldives",120,120
"7105","Nepal",3741,3681
"7106","Pakistan",5784,5691
"7107","Sri Lanka",14625,14349
"7200","Central Asia (not further defined)",0,0
"7201","Afghanistan",3753,3744
"7202","Armenia",78,78
"7203","Azerbaijan",93,90
"7204","Georgia",93,93
"7205","Kazakhstan",675,648
"7206","Kyrgyzstan",108,105
"7207","Tajikistan",45,42
"7208","Turkmenistan",21,21
"7211","Uzbekistan",294,285
"8000","The Americas (not further defined)",0,0
"8100","Northern America (not further defined)",3,0
"8101","Bermuda",243,240
"8102","Canada",14682,11928
"8103","St Pierre and Miquelon",0,0
"8104","United States of America",35286,27678
"8200","South America (not further defined)",21,18
"8201","Argentina",4056,3447
"8202","Bolivia",195,186
"8203","Brazil",8157,7719
"8204","Chile",4179,3936
"8205","Colombia",2709,2583
"8206","Ecuador",270,258
"8207","Falkland Islands",135,135
"8208","French Guiana",6,3
"8211","Guyana",117,108
"8212","Paraguay",60,54
"8213","Peru",981,933
"8214","Suriname",33,24
"8215","Uruguay",906,849
"8216","Venezuela",435,423
"8299","South America nec",3,3
"8300","Central America (not further defined)",3,3
"8301","Belize",18,15
"8302","Costa Rica",90,81
"8303","El Salvador",105,102
"8304","Guatemala",90,90
"8305","Honduras",54,48
"8306","Mexico",1539,1413
"8307","Nicaragua",30,30
"8308","Panama",54,51
"8400","Caribbean (not further defined)",30,30
"8401","Anguilla",0,0
"8402","Antigua and Barbuda",6,6
"8403","Aruba",15,15
"8404","Bahamas",51,51
"8405","Barbados",183,177
"8406","Cayman Islands",57,51
"8407","Cuba",84,81
"8408","Dominica",12,9
"8411","Dominican Republic",45,45
"8412","Grenada",12,9
"8413","Guadeloupe",12,9
"8414","Haiti",21,15
"8415","Jamaica",276,258
"8416","Martinique",15,12
"8417","Montserrat",3,3
"8421","Puerto Rico",39,36
"8422","St Kitts and Nevis",6,6
"8423","St Lucia",24,21
"8424","St Vincent and the Grenadines",24,24
"8425","Trinidad and Tobago",240,222
"8426","Turks and Caicos Islands",3,3
"8427","Virgin Islands, British",12,12
"8428","Virgin Islands, United States",6,6
"8433","Curacao",48,42
"8434","St Maarten (Dutch Part)",9,6
"9000","Sub-Saharan Africa (not further defined)",0,0
"9100","Central and West Africa (not further defined)",12,12
"9101","Benin",6,6
"9102","Burkina Faso",3,3
"9103","Cameroon",60,54
"9104","Cabo Verde",6,6
"9105","Central African Republic",3,3
"9106","Chad",9,9
"9107","Congo",189,180
"9108","Congo, the Democratic Republic of the",177,174
"9111","C�te d'Ivoire",15,15
"9112","Equatorial Guinea",3,3
"9113","Gabon",18,18
"9114","Gambia",15,12
"9115","Ghana",441,432
"9116","Guinea",0,0
"9117","Guinea-Bissau",3,3
"9118","Liberia",42,42
"9121","Mali",12,9
"9122","Mauritania",6,6
"9123","Niger",6,6
"9124","Nigeria",996,987
"9125","Sao Tome and Principe",0,0
"9126","Senegal",33,24
"9127","Sierra Leone",51,51
"9128","Togo",18,15
"9200","Southern and East Africa (not further defined)",54,54
"9201","Angola",36,30
"9202","Botswana",201,201
"9203","Burundi",129,126
"9204","Comoros",3,3
"9205","Djibouti",24,24
"9206","Eritrea",279,279
"9207","Ethiopia",1491,1479
"9208","Kenya",1917,1869
"9211","Lesotho",30,27
"9212","Madagascar",45,36
"9213","Malawi",249,240
"9214","Mauritius",666,639
"9215","Mayotte",0,0
"9216","Mozambique",117,120
"9217","Namibia",540,534
"9218","Reunion",30,27
"9221","Rwanda",108,108
"9222","St Helena",18,18
"9223","Seychelles",105,96
"9224","Somalia",1143,1134
"9225","South Africa",72402,71382
"9226","Eswatini",96,87
"9227","Tanzania",477,462
"9228","Uganda",417,393
"9231","Zambia",1563,1536
"9232","Zimbabwe",8817,8685
"9299","Southern and East Africa nec",0,0
"0000","Inadequately described",921,432
"9999","Not stated",59376,57426
"TotalStated","Total stated",4733061,4641897
"Total","Total",4793358,4699755
