"Code","Industry","Employed_census_usually_resident_population_count_aged_15_years_and_over"
"G427200","Stationery Goods Retailing",2046
"G427300","Antique and Used Goods Retailing",1941
"G427400","Flower Retailing",1284
"G427900","Other Store-Based Retailing nec",23013
"G431000","Non-Store Retailing",4056
"G432000","Retail Commission-Based Buying and/or Selling",288
"H440000","Accommodation",37587
"H451100","Cafes and Restaurants",67608
"H451200","Takeaway Food Services",27105
"H451300","Catering Services",9516
"H452000","Pubs, Taverns and Bars",13281
"H453000","Clubs (Hospitality)",4656
"I461000","Road Freight Transport",34134
"I462100","Interurban and Rural Bus Transport",1860
"I462200","Urban Bus Transport (Including Tramway)",6267
"I462300","Taxi and Other Road Transport",4542
"I471000","Rail Freight Transport",1176
"I472000","Rail Passenger Transport",1494
"I481000","Water Freight Transport",1080
"I482000","Water Passenger Transport",1059
"I490000","Air and Space Transport",9423
"I501000","Scenic and Sightseeing Transport",2214
"I502100","Pipeline Transport",168
"I502900","Other Transport nec",1098
"I510100","Postal Services",6336
"I510200","Courier Pick-up and Delivery Services",7209
"I521100","Stevedoring Services",1608
"I521200","Port and Water Transport Terminal Operations",3306
"I521900","Other Water Transport Support Services",780
"I522000","Airport Operations and Other Air Transport Support Services",3849
"I529100","Customs Agency Services",729
"I529200","Freight Forwarding Services",6006
"I529900","Other Transport Support Services nec",4266
"I530100","Grain Storage Services",15
"I530900","Other Warehousing and Storage Services",6531
"J541100","Newspaper Publishing",3729
"J541200","Magazine and Other Periodical Publishing",1455
"J541300","Book Publishing",795
"J541400","Directory and Mailing List Publishing",36
"J541900","Other Publishing (except Software, Music and Internet)",234
"J542000","Software Publishing",774
"J551100","Motion Picture and Video Production",3585
"J551200","Motion Picture and Video Distribution",129
"J551300","Motion Picture Exhibition",1683
"J551400","Post-production Services and Other Motion Picture and Video Activities",2370
"J552100","Music Publishing",57
"J552200","Music and Other Sound Recording Activities",207
"J561000","Radio Broadcasting",1614
"J562100","Free-to-Air Television Broadcasting",1518
"J562200","Cable and Other Subscription Broadcasting",813
"J570000","Internet Publishing and Broadcasting",288
"J580100","Wired Telecommunications Network Operation",6906
"J580200","Other Telecommunications Network Operation",3636
"J580900","Other Telecommunications Services",1461
"J591000","Internet Service Providers and Web Search Portals",2067
"J592100","Data Processing and Web Hosting Services",1605
"J592200","Electronic Information Storage Services",684
"J601000","Libraries and Archives",3021
"J602000","Other Information Services",222
"K621000","Central Banking",3654
"K622100","Banking",19443
"K622200","Building Society Operation",63
"K622300","Credit Union Operation",540
"K622900","Other Depository Financial Intermediation",1572
"K623000","Non-Depository Financing",2493
"K624000","Financial Asset Investing",6456
"K631000","Life Insurance",2013
"K632100","Health Insurance",1164
"K632200","General Insurance",8115
"K633000","Superannuation Funds",24
"K641100","Financial Asset Broking Services",960
"K641900","Other Auxiliary Finance and Investment Services",10365
"K642000","Auxiliary Insurance Services",8079
"L661100","Passenger Car Rental and Hiring",4170
"L661900","Other Motor Vehicle and Transport Equipment Rental and Hiring",1125
"L662000","Farm Animal and Bloodstock Leasing",306
"L663100","Heavy Machinery and Scaffolding Rental and Hiring",2055
"L663200","Video and Other Electronic Media Rental and Hiring",318
"L663900","Other Goods and Equipment Rental and Hiring nec",4926
"L664000","Non-Financial Intangible Assets (Except Copyrights) Leasing",2499
"L671100","Residential Property Operators",2988
"L671200","Non-Residential Property Operators",6678
"L672000","Real Estate Services",24057
"M691000","Scientific Research Services",9279
"M692100","Architectural Services",9138
"M692200","Surveying and Mapping Services",2892
"M692300","Engineering Design and Engineering Consulting Services",24399
"M692400","Other Specialised Design Services",8517
"M692500","Scientific Testing and Analysis Services",5265
"M693100","Legal Services",20130
"M693200","Accounting Services",23394
"M694000","Advertising Services",7710
"M695000","Market Research and Statistical Services",3393
"M696100","Corporate Head Office Management Services",44289
"M696200","Management Advice and Related Consulting Services",30270
"M697000","Veterinary Services",5958
"M699100","Professional Photographic Services",2151
"M699900","Other Professional, Scientific and Technical Services nec",4083
"M700000","Computer System Design and Related Services",41751
"N721100","Employment Placement and Recruitment Services",11256
"N721200","Labour Supply Services",20100
"N722000","Travel Agency and Tour Arrangement Services",12321
"N729100","Office Administrative Services",7995
"N729200","Document Preparation Services",411
"N729300","Credit Reporting and Debt Collection Services",1032
"N729400","Call Centre Operation",3606
"N729900","Other Administrative Services nec",10101
"N731100","Building and Other Industrial Cleaning Services",24699
"N731200","Building Pest Control Services",1296
"N731300","Gardening Services",11271
"N732000","Packaging Services",7560
"O751000","Central Government Administration",46794
"O752000","State Government Administration",0
"O753000","Local Government Administration",28032
"O754000","Justice",4215
"O755100","Domestic Government Representation",3
"O755200","Foreign Government Representation",492
"O760000","Defence",11919
"O771100","Police Services",11907
"O771200","Investigation and Security Services",10224
"O771300","Fire Protection and Other Emergency Services",2862
"O771400","Correctional and Detention Services",7197
"O771900","Other Public Order and Safety Services",2691
"O772000","Regulatory Services",5943
"P801000","Preschool Education",30963
"P802100","Primary Education",55779
"P802200","Secondary Education",37158
"P802300","Combined Primary and Secondary Education",5280
"P802400","Special School Education",2994
"P810100","Technical and Vocational Education and Training",9081
"P810200","Higher Education",32271
"P821100","Sports and Physical Recreation Instruction",3945
"P821200","Arts Education",2634
"P821900","Adult, Community and Other Education nec",15327
"P822000","Educational Support Services",2586
"Q840100","Hospitals (Except Psychiatric Hospitals)",52887
"Q840200","Psychiatric Hospitals",1110
"Q851100","General Practice Medical Services",16008
"Q851200","Specialist Medical Services",4257
"Q852000","Pathology and Diagnostic Imaging Services",4383
"Q853100","Dental Services",7164
"Q853200","Optometry and Optical Dispensing",2331
"Q853300","Physiotherapy Services",3942
"Q853400","Chiropractic and Osteopathic Services",1410
"Q853900","Other Allied Health Services",41631
"Q859100","Ambulance Services",1869
"Q859900","Other Health Care Services nec",10137
"Q860100","Aged Care Residential Services",30777
"Q860900","Other Residential Care Services",13743
"Q871000","Child Care Services",14928
"Q879000","Other Social Assistance Services",25542
"R891000","Museum Operation",3030
"R892100","Zoological and Botanical Gardens Operation",732
"R892200","Nature Reserves and Conservation Parks Operation",3654
"R900100","Performing Arts Operation",1689
"R900200","Creative Artists, Musicians, Writers and Performers",5742
"R900300","Performing Arts Venue Operation",1014
"R911100","Health and Fitness Centres and Gymnasia Operation",4044
"R911200","Sports and Physical Recreation Clubs and Sports Professionals",5532
"R911300","Sports and Physical Recreation Venues, Grounds and Facilities Operation",5220
"R911400","Sports and Physical Recreation Administrative Service",2832
"R912100","Horse and Dog Racing Administration and Track Operation",963
"R912900","Other Horse and Dog Racing Activities",1671
"R913100","Amusement Parks and Centres Operation",1317
"R913900","Amusement and Other Recreation Activities nec",3015
"R920100","Casino Operation",2691
"R920200","Lottery Operation",219
"R920900","Other Gambling Activities",1101
"S941100","Automotive Electrical Services",1983
"S941200","Automotive Body, Paint and Interior Repair",8709
"S941900","Other Automotive Repair and Maintenance",17688
"S942100","Domestic Appliance Repair and Maintenance",1218
"S942200","Electronic (except Domestic Appliance) and Precision Equipment Repair and Maintenance",1887
"S942900","Other Machinery and Equipment Repair and Maintenance",4311
"S949100","Clothing and Footwear Repair",483
"S949900","Other Repair and Maintenance nec",1152
"S951100","Hairdressing and Beauty Services",17616
"S951200","Diet and Weight Reduction Centre Operation",222
"S952000","Funeral, Crematorium and Cemetery Services",1506
"S953100","Laundry and Dry-Cleaning Services",5955
"S953200","Photographic Film Processing",168
"S953300","Parking Services",720
"S953400","Brothel Keeping and Prostitution Services",279
"S953900","Other Personal Services nec",4251
"S954000","Religious Services",9231
"S955100","Business and Professional Association Services",2886
"S955200","Labour Association Services",1920
"S955900","Other Interest Group Services nec",12957
"S960100","Private Households Employing Staff",150
"S960200","Undifferentiated Goods-Producing Activities of Private Households for Own Use",0
"S960300","Undifferentiated Service-Producing Activities of Private Households for Own Use",0
"T994000","Don't know",0
"T995000","Refused to answer",0
"T997000","Response unidentifiable",0
"T998000","Response outside scope",0
"T999999","Not stated",0
"Total","Total",2445141
