"Code","Occupation","Employed_census_usually_resident_population_count_aged_15_years_and_over"
"233911","Aeronautical Engineer",396
"233912","Agricultural Engineer",234
"233913","Biomedical Engineer",216
"233914","Engineering Technologist",159
"233915","Environmental Engineer",357
"233916","Naval Architect (Aus) / Marine Designer (NZ)",111
"233999","Engineering Professionals nec",1737
"234111","Agricultural Consultant",999
"234112","Agricultural Scientist",714
"234113","Forester (Aus) / Forest Scientist (NZ)",792
"234211","Chemist",615
"234212","Food Technologist",1068
"234213","Wine Maker",741
"234311","Conservation Officer",582
"234312","Environmental Consultant",1221
"234313","Environmental Research Scientist",1494
"234314","Park Ranger",981
"234399","Environmental Scientists nec",273
"234411","Geologist",852
"234412","Geophysicist",288
"234413","Hydrogeologist",75
"234511","Life Scientist (General)",87
"234513","Biochemist",72
"234514","Biotechnologist",102
"234515","Botanist",57
"234516","Marine Biologist",156
"234517","Microbiologist",156
"234518","Zoologist",117
"234599","Life Scientists nec",312
"234611","Medical Laboratory Scientist",1773
"234711","Veterinarian",2475
"234911","Conservator",87
"234912","Metallurgist",36
"234913","Meteorologist",168
"234914","Physicist",144
"234915","Exercise Physiologist",81
"234999","Natural and Physical Science Professionals nec",558
"241111","Early Childhood (Pre-primary School) Teacher",30798
"241112","Kaiako Kohanga Reo (Māori Language Nest Teacher)",1056
"241211","Kaiako Kura Kaupapa Māori (Māori-medium Primary School Teacher)",189
"241212","Pouako Kura Kaupapa Māori (Māori-medium Primary School Senior Teacher)",36
"241213","Primary School Teacher",33519
"241311","Middle School Teacher (Aus) / Intermediate School Teacher (NZ)",1377
"241411","Secondary School Teacher",24996
"241511","Special Needs Teacher",2307
"241512","Teacher of the Hearing Impaired",165
"241513","Teacher of the Sight Impaired",24
"241599","Special Education Teachers nec",36
"242111","University Lecturer",10101
"242112","University Tutor",4182
"242211","Vocational Education Teacher (Aus) / Polytechnic Teacher (NZ)",2694
"249111","Education Adviser",3540
"249112","Education Reviewer",120
"249211","Art Teacher (Private Tuition)",366
"249212","Dance Teacher (Private Tuition)",1131
"249213","Drama Teacher (Private Tuition)",159
"249214","Music Teacher (Private Tuition)",2895
"249299","Private Tutors and Teachers nec",618
"249311","Teacher of English to Speakers of Other Languages",1740
"251111","Dietitian",609
"251112","Nutritionist",270
"251211","Medical Diagnostic Radiographer",1017
"251212","Medical Radiation Therapist",1209
"251213","Nuclear Medicine Technologist",30
"251214","Sonographer",588
"251311","Environmental Health Officer",657
"251312","Occupational Health and Safety Adviser",2445
"251411","Optometrist",726
"251412","Orthoptist",30
"251511","Hospital Pharmacist",840
"251512","Industrial Pharmacist",54
"251513","Retail Pharmacist",2682
"251911","Health Promotion Officer",2181
"251912","Orthotist or Prosthetist",96
"251999","Health Diagnostic and Promotion Professionals nec",225
"252111","Chiropractor",504
"252112","Osteopath",444
"252211","Acupuncturist",651
"252212","Homoeopath",75
"252213","Naturopath",597
"252214","Traditional Chinese Medicine Practitioner",72
"252215","Traditional Māori Health Practitioner",9
"252299","Complementary Health Therapists nec",1002
"252311","Dental Specialist",192
"252312","Dentist",1863
"252411","Occupational Therapist",2520
"252511","Physiotherapist",4482
"252611","Podiatrist",390
"252711","Audiologist",519
"252712","Speech Pathologist (Aus) / Speech Language Therapist (NZ)",942
"253111","General Practitioner",5616
"253112","Resident Medical Officer",6744
"253211","Anaesthetist",561
"253311","Specialist Physician (General Medicine)",684
"253312","Cardiologist",72
"253313","Clinical Haematologist",27
"253314","Medical Oncologist",57
"253315","Endocrinologist",9
"253316","Gastroenterologist",21
"253317","Intensive Care Specialist",36
"253318","Neurologist",39
"253321","Paediatrician",195
"253322","Renal Medicine Specialist",12
"253323","Rheumatologist",12
"253324","Thoracic Medicine Specialist",6
"253399","Specialist Physicians nec",90
"253411","Psychiatrist",444
"253511","Surgeon (General)",453
"253512","Cardiothoracic Surgeon",21
"253513","Neurosurgeon",24
"253514","Orthopaedic Surgeon",252
"253515","Otorhinolaryngologist",39
"253516","Paediatric Surgeon",15
"253517","Plastic and Reconstructive Surgeon",51
"253518","Urologist",33
"253521","Vascular Surgeon",15
"253911","Dermatologist",63
"253912","Emergency Medicine Specialist",129
"253913","Obstetrician and Gynaecologist",138
"253914","Ophthalmologist",123
"253915","Pathologist",327
"253917","Diagnostic and Interventional Radiologist",435
"253918","Radiation Oncologist",27
"253999","Medical Practitioners nec",27
"254111","Midwife",2742
"254211","Nurse Educator",972
"254212","Nurse Researcher",96
"254311","Nurse Manager",11490
"254411","Nurse Practitioner",273
"254412","Registered Nurse (Aged Care)",3477
"254413","Registered Nurse (Child and Family Health)",1884
"254414","Registered Nurse (Community Health)",3312
"254415","Registered Nurse (Critical Care and Emergency)",2946
"254416","Registered Nurse (Developmental Disability)",24
"254417","Registered Nurse (Disability and Rehabilitation)",522
"254418","Registered Nurse (Medical)",4110
"254421","Registered Nurse (Medical Practice)",4983
"254422","Registered Nurse (Mental Health)",2844
"254423","Registered Nurse (Perioperative)",3207
"254424","Registered Nurse (Surgical)",807
"254425","Registered Nurse (Paediatric)",141
"254499","Registered Nurses nec",7761
"261111","ICT Business Analyst",501
"261112","Systems Analyst",14787
"261211","Multimedia Specialist",540
"261212","Web Developer",2718
"261311","Analyst Programmer",579
"261312","Developer Programmer",12081
"261313","Software Engineer",14298
"261314","Software Tester",858
"261399","Software and Applications Programmers nec",18
"262111","Database Administrator",1833
"262112","ICT Security Specialist",468
"262113","Systems Administrator",2868
"263111","Computer Network and Systems Engineer",1584
"263112","Network Administrator",747
"263113","Network Analyst",339
"263211","ICT Quality Assurance Engineer",354
"263212","ICT Support Engineer",1131
"263213","ICT Systems Test Engineer",666
"263299","ICT Support and Test Engineers nec",132
"263311","Telecommunications Engineer",798
"263312","Telecommunications Network Engineer",1287
"271111","Barrister",1116
"271211","Judge",357
"271212","Magistrate",12
"271213","Tribunal Member",30
"271214","Intellectual Property Lawyer",282
"271299","Judicial and Other Legal Professionals nec",2925
"271311","Solicitor",11865
"272111","Careers Counsellor",585
"272112","Drug and Alcohol Counsellor",597
"272113","Family and Marriage Counsellor",525
"272114","Rehabilitation Counsellor",168
"272115","Student Counsellor",966
"272199","Counsellors nec",2382
"272211","Minister of Religion",5025
"272311","Clinical Psychologist",2514
"272312","Educational Psychologist",201
"272313","Organisational Psychologist",54
"272314","Psychotherapist",600
"272399","Psychologists nec",63
"272411","Historian",147
"272412","Interpreter",528
"272413","Translator",441
"272414","Archaeologist",144
"272499","Social Professionals nec",5568
"272511","Social Worker",8019
"272611","Community Arts Worker",33
"272612","Recreation Officer (Aus) / Recreation Coordinator (NZ)",330
"272613","Welfare Worker",6198
"311111","Agricultural Technician",1518
"311211","Anaesthetic Technician",783
"311212","Cardiac Technician",135
"311213","Medical Laboratory Technician",1491
"311214","Operating Theatre Technician",90
"311215","Pharmacy Technician",2418
"311216","Pathology Collector (Aus)/Phlebotomist (NZ)",900
"311299","Medical Technicians nec",966
"311311","Fisheries Officer",150
"311312","Meat Inspector",699
"311313","Quarantine Officer",759
"311399","Primary Products Inspectors nec",138
"311411","Chemistry Technician",1020
"311412","Earth Science Technician",657
"311413","Life Science Technician",1581
"311414","School Laboratory Technician",81
"311415","Hydrographer",30
"311499","Science Technicians nec",1185
"312111","Architectural Draftsperson",2082
"312112","Building Associate",3138
"312113","Building Inspector",1002
"312114","Construction Estimator",1173
"312115","Plumbing Inspector",42
"312116","Surveying or Spatial Science Technician",408
"312199","Architectural, Building and Surveying Technicians nec",423
"312211","Civil Engineering Draftsperson",264
"312212","Civil Engineering Technician",969
"312311","Electrical Engineering Draftsperson",81
"312312","Electrical Engineering Technician",2475
"312411","Electronic Engineering Draftsperson",3
"312412","Electronic Engineering Technician",2436
"312511","Mechanical Engineering Draftsperson",258
"312512","Mechanical Engineering Technician",1821
"312611","Safety Inspector",1227
"312911","Maintenance Planner",900
"312912","Metallurgical or Materials Technician",159
"312913","Mine Deputy",30
"312999","Building and Engineering Technicians nec",3663
"313111","Hardware Technician",141
"313112","ICT Customer Support Officer",4680
"313113","Web Administrator",438
"313199","ICT Support Technicians nec",744
"313211","Radiocommunications Technician",12
"313212","Telecommunications Field Engineer",123
"313213","Telecommunications Network Planner",63
"313214","Telecommunications Technical Officer or Technologist",84
"321111","Automotive Electrician",1557
"321211","Motor Mechanic (General)",14955
"321212","Diesel Motor Mechanic",5619
"321213","Motorcycle Mechanic",708
"321214","Small Engine Mechanic",489
"322111","Blacksmith",180
"322112","Electroplater",174
"322113","Farrier",264
"322114","Metal Casting Trades Worker",171
"322115","Metal Polisher",192
"322211","Sheetmetal Trades Worker",4332
"322311","Metal Fabricator",4206
"322312","Pressure Welder",12
"322313","Welder (First Class) (Aus) / Welder (NZ)",3048
"323111","Aircraft Maintenance Engineer (Avionics)",618
"323112","Aircraft Maintenance Engineer (Mechanical)",2430
"323113","Aircraft Maintenance Engineer (Structures)",144
"323211","Fitter (General)",5832
"323212","Fitter and Turner",1470
"323213","Fitter-Welder",2802
"323214","Metal Machinist (First Class)",474
"323215","Textile, Clothing and Footwear Mechanic",63
"323299","Metal Fitters and Machinists nec",33
"323311","Engraver",177
"323312","Gunsmith",105
"323313","Locksmith",534
"323314","Precision Instrument Maker and Repairer",120
"323315","Saw Doctor",270
"323316","Watch and Clock Maker and Repairer",138
"323411","Engineering Patternmaker",120
"323412","Toolmaker",651
"324111","Panelbeater",3111
"324211","Vehicle Body Builder",486
"324212","Vehicle Trimmer",246
"324311","Vehicle Painter",1842
"331111","Bricklayer",1791
"331112","Stonemason",744
"331211","Carpenter and Joiner",396
"331212","Carpenter",14565
"331213","Joiner",3273
"332111","Floor Finisher",2982
"332211","Painting Trades Worker",12297
"333111","Glazier",2022
"333211","Fibrous Plasterer",2205
"333212","Solid Plasterer",2400
"333311","Roof Tiler",3696
"333411","Wall and Floor Tiler",1806
"334111","Plumber (General)",9012
"334112","Airconditioning and Mechanical Services Plumber",21
"334113","Drainer (Aus) / Drainlayer (NZ)",2919
"334114","Gasfitter",456
"334115","Roof Plumber",36
"341111","Electrician (General)",20016
"341112","Electrician (Special Class)",3
"341113","Lift Mechanic",240
"342111","Airconditioning and Refrigeration Mechanic",1488
"342211","Electrical Linesworker (Aus) / Electrical Line Mechanic (NZ)",2508
"342212","Technical Cable Jointer",270
"342311","Business Machine Mechanic",156
"342312","Communications Operator",294
"342313","Electronic Equipment Trades Worker",2268
"342314","Electronic Instrument Trades Worker (General)",15
"342315","Electronic Instrument Trades Worker (Special Class)",12
"342411","Cabler (Data and Telecommunications)",210
"342412","Telecommunications Cable Jointer",159
"342413","Telecommunications Linesworker (Aus) / Telecommunications Line Mechanic (NZ)",42
"342414","Telecommunications Technician",3096
"351111","Baker",5454
"351112","Pastrycook",366
"351211","Butcher or Smallgoods Maker",4152
"351311","Chef",25386
"351411","Cook",6639
"361111","Dog Handler or Trainer",342
"361112","Horse Trainer",792
"361113","Pet Groomer",714
"361114","Zookeeper",258
"361115","Kennel Hand",375
"361199","Animal Attendants and Trainers nec",804
"361211","Shearer",1719
"361311","Veterinary Nurse",2145
"362111","Florist",1410
"362211","Gardener (General)",6054
"362212","Arborist",1614
"362213","Landscape Gardener",4881
"362311","Greenkeeper",3354
"362411","Nurseryperson",2364
"391111","Hairdresser",10488
"392111","Print Finisher",669
"392112","Screen Printer",450
"392211","Graphic Pre-press Trades Worker",420
"392311","Printing Machinist",2154
"392312","Small Offset Printer",729
"393111","Canvas Goods Fabricator",309
"393112","Leather Goods Maker",174
"393113","Sail Maker",120
"393114","Shoemaker",153
"393211","Apparel Cutter",231
"393212","Clothing Patternmaker",78
"393213","Dressmaker or Tailor",684
"393299","Clothing Trades Workers nec",51
"393311","Upholsterer",915
"394111","Cabinetmaker",2502
"394211","Furniture Finisher",363
"394212","Picture Framer",417
"394213","Wood Machinist",480
"394214","Wood Turner",45
"394299","Wood Machinists and Other Wood Trades Workers nec",45
"399111","Boat Builder and Repairer",1377
"399112","Shipwright",30
"399211","Chemical Plant Operator",591
"399212","Gas or Petroleum Operator",324
"399213","Power Generation Plant Operator",411
"399311","Gallery or Museum Technician",189
"399312","Library Technician",18
"399411","Jeweller",819
"399511","Broadcast Transmitter Operator",93
"399512","Camera Operator (Film, Television or Video)",756
"399513","Light Technician",279
"399514","Make Up Artist",540
"399515","Musical Instrument Maker or Repairer",129
"399516","Sound Technician",546
"399517","Television Equipment Operator",108
"399599","Performing Arts Technicians nec",483
"399611","Signwriter",1524
"399911","Diver",198
"399912","Interior Decorator",315
"399913","Optical Dispenser (Aus) / Dispensing Optician (NZ)",933
"399914","Optical Mechanic",114
"399915","Photographer's Assistant",15
"399916","Plastics Technician",303
"399917","Wool Classer",138
"399918","Fire Protection Equipment Technician",285
"399999","Technicians and Trades Workers nec",1656
"411111","Ambulance Officer",624
"411112","Intensive Care Ambulance Paramedic (Aus) / Ambulance Paramedic (NZ)",1263
"411211","Dental Hygienist",381
"411212","Dental Prosthetist",153
"411213","Dental Technician",405
"411214","Dental Therapist",735
"411311","Diversional Therapist",1608
"411411","Enrolled Nurse",2580
"411412","Mothercraft Nurse",63
"411511","Aboriginal and Torres Strait Islander Health Worker",0
"411512","Kaiāwhina (Hauora) (Māori Health Assistant)",135
"411611","Massage Therapist",2349
"411711","Community Worker",14580
"411712","Disabilities Services Officer",177
"411713","Family Support Worker",357
"411714","Parole or Probation Officer",1302
"411715","Residential Care Officer",135
"411716","Youth Worker",2379
"421111","Child Care Worker",5595
"421112","Family Day Care Worker",69
"421113","Nanny",3186
"421114","Out of School Hours Care Worker",1698
"422111","Aboriginal and Torres Strait Islander Education Worker",0
"422112","Integration Aide",3
"422113","Kaiāwhina Kohanga Reo (Māori Language Nest Assistant)",273
"422114","Kaiāwhina Kura Kaupapa Māori (Māori-medium School Assistant)",36
"422115","Preschool Aide",444
"422116","Teachers' Aide",17859
"423111","Aged or Disabled Carer",9888
"423211","Dental Assistant",3240
"423311","Hospital Orderly",1059
"423312","Nursing Support Worker",1281
"423313","Personal Care Assistant",32232
"423314","Therapy Aide",543
"423411","Child or Youth Residential Care Assistant",312
"423412","Hostel Parent",72
"423413","Refuge Worker",36
"431111","Bar Attendant",4947
"431112","Barista",8580
"431211","Cafe Worker",9747
"431311","Gaming Worker",867
"431411","Hotel Service Manager",7128
"431511","Waiter",21171
"431911","Bar Useful or Busser",75
"431912","Doorperson or Luggage Porter",456
"431999","Hospitality Workers nec",1161
"441111","Defence Force Member - Other Ranks",5454
"441211","Emergency Service Worker",429
"441212","Fire Fighter",2421
"441311","Detective",864
"441312","Police Officer",9831
"442111","Prison Officer",4218
"442211","Alarm, Security or Surveillance Monitor",360
"442212","Armoured Car Escort",12
"442213","Crowd Controller",36
"442214","Private Investigator",213
"442215","Retail Loss Prevention Officer",369
"442216","Security Consultant",489
"442217","Security Officer",7785
"442299","Security Officers and Guards nec",114
"451111","Beauty Therapist",5274
"451211","Driving Instructor",705
"451311","Funeral Director",612
"451399","Funeral Workers nec",156
"451411","Gallery or Museum Guide",585
"451412","Tour Guide",2640
"451511","Natural Remedy Consultant",123
"451512","Weight Loss Consultant",96
"451513","Herbalist (Western)",75
"451611","Tourist Information Officer",201
"451612","Travel Consultant",4833
"451711","Flight Attendant",3015
"451799","Travel Attendants nec",276
"451811","Civil Celebrant",180
"451812","Hair or Beauty Salon Assistant",435
"451813","Sex Worker or Escort",81
"451814","Body Artist",423
"451815","First Aid Trainer",186
"451816","Religious Assistant",816
"451899","Personal Service Workers nec",477
"452111","Fitness Instructor",4146
"452211","Bungy Jump Master",60
"452212","Fishing Guide",117
"452213","Hunting Guide",72
"452214","Mountain or Glacier Guide",114
"452215","Outdoor Adventure Instructor",654
"452216","Trekking Guide",54
"452217","Whitewater Rafting Guide",129
"452299","Outdoor Adventure Guides nec",1041
"452311","Diving Instructor (Open Water)",108
"452312","Gymnastics Coach or Instructor",633
"452313","Horse Riding Coach or Instructor",243
"452314","Snowsport Instructor",57
"452315","Swimming Coach or Instructor",2514
"452316","Tennis Coach",336
"452317","Other Sports Coach or Instructor",3951
"452318","Dog or Horse Racing Official",99
"452321","Sports Development Officer",168
"452322","Sports Umpire",300
"452323","Other Sports Official",69
"452411","Footballer",258
"452412","Golfer",216
"452413","Jockey",105
"452414","Lifeguard",2253
"452499","Sportspersons nec",441
"511111","Contract Administrator",3030
"511112","Program or Project Administrator",16101
"512111","Office Manager",65907
"512211","Health Practice Manager",1467
"512299","Practice Managers nec",672
"521111","Personal Assistant",10086
"521211","Secretary (General)",5514
"521212","Legal Secretary",2199
"531111","General Clerk",36231
"532111","Data Entry Operator",2022
"532112","Machine Shorthand Reporter",135
"532113","Word Processing Operator",1314
"541111","Call or Contact Centre Team Leader",1158
"541112","Call or Contact Centre Operator",3441
"541211","Information Officer",477
"542111","Receptionist (General)",11964
"542112","Admissions Clerk",726
"542113","Hotel or Motel Receptionist",5472
"542114","Medical Receptionist",4758
"551111","Accounts Clerk",19359
"551112","Cost Clerk",1125
"551211","Bookkeeper",1950
"551311","Payroll Clerk",3513
"552111","Bank Worker",9195
"552211","Credit and Loans Officer (Aus)/Finance Clerk (NZ)",2514
"552311","Bookmaker",9
"552312","Insurance Consultant",2793
"552313","Money Market Clerk",24
"552314","Statistical Clerk",294
"561111","Betting Agency Counter Clerk",186
"561112","Bookmaker's Clerk",0
"561113","Telephone Betting Clerk",3
"561199","Betting Clerks nec",249
"561211","Courier",4182
"561212","Postal Delivery Officer",1680
"561311","Filing or Registry Clerk",801
"561411","Mail Clerk",855
"561412","Postal Sorting Officer",1116
"561511","Survey Interviewer",1041
"561611","Switchboard Operator",531
"561911","Classified Advertising Clerk",9
"561912","Meter Reader",420
"561913","Parking Inspector",333
"561999","Clerical and Office Support Workers nec",270
"591112","Production Clerk",5358
"591113","Purchasing Officer",1926
"591115","Stock Clerk",4410
"591116","Warehouse Administrator",3528
"591117","Order Clerk",225
"591211","Despatching and Receiving Clerk",6648
"591212","Import-Export Clerk",1524
"599111","Conveyancer",144
"599112","Legal Executive",1887
"599211","Clerk of Court",48
"599212","Court Bailiff or Sheriff (Aus) / Court Collections Officer (NZ)",159
"599213","Court Orderly (Aus) / Court Registry Officer (NZ)",783
"599214","Law Clerk",1560
"599215","Trust Officer",330
"599311","Debt Collector",1770
"599411","Human Resources Clerk",591
"599511","Customs Officer",1002
"599512","Immigration Officer",606
"599513","Motor Vehicle Licence Examiner",27
"599514","Noxious Weeds and Pest Inspector",225
"599515","Social Security Assessor",9
"599516","Taxation Inspector",561
"599517","Train Examiner",30
"599518","Transport Operations Inspector",66
"599521","Water Inspector",96
"599599","Inspectors and Regulatory Officers nec",1725
"599611","Insurance Investigator",90
"599612","Insurance Loss Adjuster",1455
"599613","Insurance Risk Surveyor",36
"599711","Library Assistant",2037
"599912","Production Assistant (Film, Television, Radio or Stage)",270
"599913","Proof Reader",147
"599914","Radio Despatcher",618
"599915","Clinical Coder",255
"599916","Facilities Administrator",471
"599999","Clerical and Administrative Workers nec",339
"611111","Auctioneer",138
"611112","Stock and Station Agent",840
"611211","Insurance Agent",2136
"611311","Sales Representative (Building and Plumbing Supplies)",129
"611312","Sales Representative (Business Services)",342
"611313","Sales Representative (Motor Vehicle Parts and Accessories)",108
"611314","Sales Representative (Personal and Household Goods)",36
"611399","Sales Representatives nec",51747
"612111","Business Broker",276
"612112","Property Manager",7881
"612113","Real Estate Agency Principal (Aus) / Real Estate Agency Licensee (NZ)",636
"612114","Real Estate Agent",5196
"612115","Real Estate Representative",5025
"621111","Sales Assistant (General)",108702
"621211","ICT Sales Assistant",159
"621311","Motor Vehicle or Caravan Salesperson",1599
"621312","Motor Vehicle Parts Interpreter (Aus) / Automotive Parts Salesperson (NZ)",2847
"621411","Pharmacy Sales Assistant",1464
"621511","Retail Supervisor",5538
"621611","Service Station Attendant",2166
"621711","Cash Van Salesperson",333
"621712","Door-to-door Salesperson",693
"621713","Street Vendor",225
"621911","Materials Recycler",816
"621912","Rental Salesperson",498
"621999","Sales Assistants and Salespersons nec",273
"631111","Checkout Operator",11556
"631112","Office Cashier",4014
"639111","Model",69
"639112","Sales Demonstrator",4827
"639211","Retail Buyer",1353
"639212","Wool Buyer",105
"639311","Telemarketer",642
"639411","Ticket Seller",816
"639412","Transport Conductor",15
"639511","Visual Merchandiser",507
"639911","Other Sales Support Worker",672
"711111","Clay Products Machine Operator",27
"711112","Concrete Products Machine Operator",315
